Matchup,HomeTeam,AwayTeam,AwaySHOTS,AwayPENALTIES,AwayPIM,AwayATTACK,AwayGOALS,AwayFACEOFFS WON,AwayCHECKS,AwayPASS ATT,AwayPASS COMP,AwayPP MIN,AwayPP GOALS,AwayPP OPP,AwayPP SHOTS,AwaySHG,AwayBREAKAWAY,AwayBREAKAWAY GOALS,Away1X ATT,Away1X GOALS,AwayPENALTY SHOTS,AwayPENALTY SHOT GOALS,Away1ST SHOTS,Away2ND SHOTS,Away3RD SHOTS,AwayOT SHOTS,Away1ST GOALS,Away2ND GOALS,Away3RD GOALS,AwayOT GOALS,HomeSHOTS,HomePENALTIES,HomePIM,HomeATTACK,AWayGOALS,HomeFACEOFFS WON,HomeCHECKS,HomePASS ATT,HomePASS COMP,HomePP MIN,HomePP GOALS,HomePP OPP,HomePP SHOTS,HomeSHG,HomeBREAKAWAY,HomeBREAKAWAY GOALS,Home1X ATT,Home1X GOALS,HomePENALTY SHOTS,HomePENALTY SHOT GOALS,Home1ST SHOTS,Home2ND SHOTS,Home3RD SHOTS,HomeOT SHOTS,Home1ST GOALS,Home2ND GOALS,Home3RD GOALS,HomeOT GOALS,TOTAL FO,OT Game,GAME LENGTH,Name,Pos,G,A,PTS,SO,GA,SV,SH,SV%,W,L,T,OTL,TOI,Name,Pos,G,A,PTS,SO,GA,SV,SH,SV%,W,L,T,OTL,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SO,GA,SV,SH,SV%,W,L,T,OTL,TOI,Name,Pos,G,A,PTS,SO,GA,SV,SH,SV%,W,L,T,OTL,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Name,Pos,G,A,PTS,SOG,CHK,PIM,PPP,SHP,TOI,Goal#,Period,TIME,TEAM,GOALscorer,ASSIST 1,ASSIST 2,TYPE,Goal#,Period,TIME,TEAM,GOALscorer,ASSIST 1,ASSIST 2,TYPE,Goal#,Period,TIME,TEAM,GOALscorer,ASSIST 1,ASSIST 2,TYPE,Goal#,Period,TIME,TEAM,GOALscorer,ASSIST 1,ASSIST 2,TYPE,Goal#,Period,TIME,TEAM,GOALscorer,ASSIST 1,ASSIST 2,TYPE,Goal#,Period,TIME,TEAM,GOALscorer,ASSIST 1,ASSIST 2,TYPE,Goal#,Period,TIME,TEAM,GOALscorer,ASSIST 1,ASSIST 2,TYPE,Goal#,Period,TIME,TEAM,GOALscorer,ASSIST 1,ASSIST 2,TYPE,Goal#,Period,TIME,TEAM,GOALscorer,ASSIST 1,ASSIST 2,TYPE,Goal#,Period,TIME,TEAM,GOALscorer,ASSIST 1,ASSIST 2,TYPE,Goal#,Period,TIME,TEAM,GOALscorer,ASSIST 1,ASSIST 2,TYPE,Goal#,Period,TIME,TEAM,GOALscorer,ASSIST 1,ASSIST 2,TYPE,Goal#,Period,TIME,TEAM,GOALscorer,ASSIST 1,ASSIST 2,TYPE,Goal#,Period,TIME,TEAM,GOALscorer,ASSIST 1,ASSIST 2,TYPE,Goal#,Period,TIME,TEAM,GOALscorer,ASSIST 1,ASSIST 2,TYPE,Pen#,PERIOD,TIME,TEAM,Penalty,Type,Pen#,PERIOD,TIME,TEAM,Penalty,Type,Pen#,PERIOD,TIME,TEAM,Penalty,Type,Pen#,PERIOD,TIME,TEAM,Penalty,Type,Pen#,PERIOD,TIME,TEAM,Penalty,Type,Pen#,PERIOD,TIME,TEAM,Penalty,Type,Pen#,PERIOD,TIME,TEAM,Penalty,Type,Pen#,PERIOD,TIME,TEAM,Penalty,Type,Pen#,PERIOD,TIME,TEAM,Penalty,Type,Pen#,PERIOD,TIME,TEAM,Penalty,Type,Pen#,PERIOD,TIME,TEAM,Penalty,Type,Pen#,PERIOD,TIME,TEAM,Penalty,Type,Pen#,PERIOD,TIME,TEAM,Penalty,Type,Pen#,PERIOD,TIME,TEAM,Penalty,Type,Pen#,PERIOD,TIME,TEAM,Penalty,Type
TAI/OCW,OCW,TAI,17,3,3,7:12,4,12,14,29,17,0:14,0,1,1,1,5,0,2,0,1,1,5,7,5,0,0,2,2,0,4,1,1,4:08,0,8,18,36,14,2:14,0,3,0,0,2,0,2,0,0,0,1,0,3,0,0,0,0,0,20,0,15:00,Patrick Roy,G,0,1,1,1,0,4,4,1,1,0,0,0,15:00,Vesa Toskala,G,0,0,0,0,0,0,0,0,0,0,0,0,0:00,Doug Weight,F,0,0,0,0,0,0,0,0,0:00,John Madden,F,0,0,0,0,0,0,0,0,0:00,Daymond Langkow,F,0,0,0,4,2,2,0,0,13:55,Daniel Alfredsson,F,0,1,1,6,6,0,0,1,15:00,Paul Kariya,F,3,0,3,6,2,0,0,1,15:00,Jamie Langenbrunner,F,0,0,0,0,0,0,0,0,0:00,Mathieu Dandenault,D,0,0,0,0,0,0,0,0,0:00,Janne Niinimaa,D,0,1,1,0,1,0,0,0,15:00,Lubomir Visnovsky,D,0,0,0,0,0,0,0,0,1:05,Willie Mitchell,D,1,1,2,1,3,1,0,1,14:26,Dominik Hasek,G,0,0,0,0,4,13,17,0.765,0,1,0,0,14:54,Kari Lehtonen,G,0,0,0,0,0,0,0,0,0,0,0,0,0:00,Tony Amonte,F,0,0,0,0,1,0,0,0,15:00,Eric Staal,F,0,0,0,0,0,0,0,0,0:06,Alexander Semin,F,0,0,0,0,0,0,0,0,0:00,Mario Lemieux,F,0,0,0,1,2,0,0,0,15:00,Ales Hemsky,F,0,0,0,0,0,0,0,0,0:00,Scott Gomez,F,0,0,0,0,4,0,0,0,15:00,Teppo Numminen,D,0,0,0,1,4,1,0,0,14:40,Eric Brewer,D,0,0,0,2,7,0,0,0,15:00,Alexei Zhitnik,D,0,0,0,0,0,0,0,0,0:00,Bryan Allen,D,0,0,0,0,0,0,0,0,0:00,1,2,2:52,TAI,Paul Kariya,Willie Mitchell,Daniel Alfredsson,SH,2,2,3:39,TAI,Paul Kariya,Janne Niinimaa,,EV,3,3,1:56,TAI,Paul Kariya,,,EV,4,3,2:24,TAI,Willie Mitchell,Patrick Roy,,EV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0:58,TAI,Daymond Langkow,Charging,2,1,4:21,OCW,Teppo Numminen,Charging,3,1,4:35,TAI,Willie Mitchell,Charging,4,2,2:38,TAI,Daymond Langkow,Charging,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OCW/TAI,TAI,OCW,13,1,1,5:36,2,5,13,45,27,0:00,0,0,0,0,3,1,3,0,1,1,3,6,4,0,0,1,1,0,15,0,0,5:56,1,7,13,39,21,1:00,0,1,2,0,6,0,5,0,0,0,5,5,5,0,1,0,0,0,12,0,15:00,Dominik Hasek,G,0,0,0,0,1,14,15,0.933,1,0,0,0,15:00,Kari Lehtonen,G,0,0,0,0,0,0,0,0,0,0,0,0,0:00,Tony Amonte,F,1,0,1,3,1,1,0,0,15:00,Eric Staal,F,0,0,0,0,0,0,0,0,0:00,Alexander Semin,F,0,0,0,0,0,0,0,0,0:00,Mario Lemieux,F,0,1,1,3,3,0,0,0,15:00,Ales Hemsky,F,0,0,0,0,0,0,0,0,0:00,Scott Gomez,F,1,0,1,3,3,0,0,0,15:00,Teppo Numminen,D,0,0,0,1,0,0,0,0,15:00,Eric Brewer,D,0,0,0,3,6,0,0,0,15:00,Alexei Zhitnik,D,0,0,0,0,0,0,0,0,0:00,Bryan Allen,D,0,0,0,0,0,0,0,0,0:00,Patrick Roy,G,0,0,0,0,2,11,13,0.846,0,1,0,0,15:00,Vesa Toskala,G,0,0,0,0,0,0,0,0,0,0,0,0,0:00,Doug Weight,F,0,0,0,0,0,0,0,0,0:00,John Madden,F,0,0,0,0,0,0,0,0,0:00,Daymond Langkow,F,0,0,0,3,2,0,0,0,15:00,Daniel Alfredsson,F,1,0,1,9,3,0,0,0,15:00,Paul Kariya,F,0,0,0,1,2,0,0,0,15:00,Jamie Langenbrunner,F,0,0,0,0,0,0,0,0,0:00,Mathieu Dandenault,D,0,0,0,2,3,0,0,0,15:00,Janne Niinimaa,D,0,0,0,0,3,0,0,0,15:00,Lubomir Visnovsky,D,0,0,0,0,0,0,0,0,0:00,Willie Mitchell,D,0,0,0,0,0,0,0,0,0:00,1,1,1:19,TAI,Daniel Alfredsson,,,EV,2,2,2:37,OCW,Scott Gomez,Mario Lemieux,,EV,3,3,1:00,OCW,Tony Amonte,,,EV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1:32,OCW,Tony Amonte,Charging,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PRO/HIG,HIG,PRO,15,2,2,5:33,0,6,16,49,25,1:00,0,1,1,0,1,0,6,0,0,0,5,5,5,0,0,0,0,0,15,1,1,5:30,3,7,11,42,22,2:00,0,2,0,0,1,0,4,2,0,0,3,5,7,0,0,2,1,0,13,0,15:00,Tim Thomas,G,0,0,0,0,3,12,15,0.8,0,1,0,0,15:00,Johan Hedberg,G,0,0,0,0,0,0,0,0,0,0,0,0,0:00,John LeClair,F,0,0,0,2,3,0,0,0,11:20,Vaclav Prospal,F,0,0,0,0,0,0,0,0,0:00,Mike Modano,F,0,0,0,7,1,1,0,0,14:31,Tomas Plekanec,F,0,0,0,0,0,0,0,0,0:00,Joe Nieuwendyk,F,0,0,0,3,6,0,0,0,15:00,Saku Koivu,F,0,0,0,2,2,0,0,0,3:40,Ruslan Salei,D,0,0,0,1,1,1,0,0,15:00,Brent Sopel,D,0,0,0,0,3,0,0,0,15:00,Frantisek Kaberle,D,0,0,0,0,0,0,0,0,0:00,Dan Hamhuis,D,0,0,0,0,0,0,0,0,0:00,Sean Burke,G,0,1,1,1,0,15,15,1,1,0,0,0,14:54,Dan Ellis,G,0,0,0,0,0,0,0,0,0,0,0,0,0:00,Joe Thornton,F,0,1,1,4,4,0,0,0,15:00,Brian Gionta,F,0,0,0,0,0,0,0,0,0:00,Claude Lemieux,F,0,0,0,0,0,0,0,0,0:06,Milan Hejduk,F,1,1,2,5,1,1,0,0,15:00,Nils Ekman,F,0,0,0,0,0,0,0,0,0:00,Radek Bonk,F,1,0,1,2,2,0,0,0,15:00,Rostislav Klesla,D,0,0,0,0,0,0,0,0,0:00,Kyle McLaren,D,0,0,0,0,0,0,0,0,0:00,Derek Morris,D,1,0,1,2,1,0,0,0,15:00,Zdeno Chara,D,0,0,0,2,3,0,0,0,15:00,1,2,1:21,HIG,Radek Bonk,Milan Hejduk,Joe Thornton,EV,2,2,3:42,HIG,Derek Morris,Sean Burke,,EV,3,3,3:40,HIG,Milan Hejduk,,,EV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0:35,HIG,Milan Hejduk,Interference,2,2,4:29,PRO,Mike Modano,Charging,3,3,1:12,PRO,Ruslan Salei,Hooking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
